SKU	FNSKU	ASIN	商品コード	商品名	表示/非表示	最小ロット	危険物フラグ	消費期限フラグ	消費税率	商品評価	季節性(春)	季節性(夏)	季節性(秋)	季節性(冬)
00-KOU9-B1OP	X001BBX0EP	B07FCVZ4R1		NEW プラネットサーフ ラスティングアイブロウ ブラウン PLANET SURF プラネットサーフ アイブロウ ウォータープルーフ リキッド ラスティングアイブロウ PLANET SURF プラネットサーフ アイブロウ ウォータープルーフ リキッド 長時間続く 防水 3D 自然	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
0R-X703-9392	X001BF8PZF	B087YKHMZT		ガーネッシュ インセンススティック 100本入 WHITE MUSK	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
14-7ZQP-D90K	X001BAEZWR	B007XQN574		レビオナ化粧品エフェクトクリーム天然イオン配合	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
19-D8LT-42KS	X001BF8PN7	B00M8UURXK		アカラン エッセンシャルウォータージェル250g お徳用サイズ 数量限定 化粧水 美容液 乳液 オールインワン オールインワンジェル スキンケア 無添加 乾燥肌 敏感肌	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
1R-BSH4-QSX6	X001BF5V4N	B0995M7NF8		オキナ 薬用 マウスウォッシュ ロングスピン 【医薬部外品】日本製 個包装 携帯 (100個入, X/ミント)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
20250725-278-11	X001B4492J	B0DQ4VNNDN		いなばペットフード クランキーちゅ~る和え贅沢バラエティ 20g×10本	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
34-5DZX-V311	X001BAODID	B09KG8BVQM		SBI BEST NMN 9000mg 30日分 60粒 エイジングケア サプリ プレミアム サプリメント 美容	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
3H-IPEG-E0IK	X001BAV5YD	B08Q9KZLY4		旭研究所 業務用ハイドロキノン 5% クリーム大容量15g 医師の管理下で使われているハイドロキノン5%	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
45-HBQI-E4DH	X001BFCKC9	B005DJ6PQQ		オキナ 薬用 マウスウォッシュ ロングスピン 13ml 【医薬部外品】日本製 個包装 携帯 ＜100個入＞ (ROSE／ロゼ)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
4N-TYYG-7MOA	X001BAOGAD	B015IGYINU		ブレーンコスモス イポケアEX 化粧箱付き 18ML 18ミリリットル (x 1)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
5X-IMQE-57IY	X001BARAOR	B004685S7W		胡粉ネイル スーパーコート	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
6N-FGDZ-1ZSS	X001BL5E21	B07L9PCB8Y		アネリアナチュラル トリートメントマスカラ（ブラック） 1個 (x 1)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
6Q-EQX4-HZ2P	X001BLBH81	B0924LCQ74		機能性表示食品 快通ハーブ粒 120粒	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
79-GUS1-75NV	X001BAV6U1	B00CF6YMZ6		鳴尾化学研究所 ロオナ ジャンティ トリートメント1000g	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
7T-Y9PY-MRKA	X001BDQX15	B01LYPSYHL		舞妓夢コロン 山梔子/くちなしの香り 20ミリリットル (x 1)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
81-SXIF-2AHV	X001BAV4PN	B00IR2XET2		カプレーブ UV-AB プロテクター 4+（顔・体用）SPF50+ PA++++ 60ｇ	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
9S-9WLL-XJ0N	X001BEUET1	B0BH2YC89R		SHIROKU（シロク） デンタル ペースト リニューアルver.2.0 ホワイトニング 歯 歯磨き粉 ハミガキ 口臭 ケア 自然由来 光触媒 アパタイト	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
A7-YME1-CT7L	X001BIEMD1	B07H6F4NMQ		オーラルピース クリーン&モイスチュア D 80g×2 80グラム (x 2)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
C3-CM8M-V0G3	X001BE0J69	B08SWWZBVK		ショーワグローブ(Showaglove) くうきれい エアコン送風ファン洗浄剤ムース、リンス AFC-503	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
CS-0J7J-TYSV	X001BPR8ZX	B0761NMQS1		京コスメ 舞妓夢コロン 金木犀/きんもくせいの香り 単品 20ミリリットル (x 1)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
D5-8KXM-REA2	X001BF2OTD	B015BLF8AY		環境ダイゼン 【大容量】バイオで消臭 抗菌 きえ〜る室内用 バイオ消臭液 無香 詰替用 特大サイズ 4L	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
EM-83I1-TZQM	X001BLABSX	B07YS6RV7J		アネリアナチュラル トリートメントマスカラ BR ブラウン(7ml)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
G0-13O8-BCM0	X001BFCNB7	B01AOUH9Y0		オキナ 薬用 マウスウォッシュ ロングスピン 13ml 【医薬部外品】日本製 個包装 携帯 ＜100個入＞ (ZERO／シトラスミント（ノンアルコール）)	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
GJ-T6AY-SP6A	X001BF5WJH	B009RHM38Y		【大容量】天然成分 ペットにも安心安全の消臭液 きえ〜るペット用 バイオ消臭液 無香 詰替用 特大サイズ 4L	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
IG-7R9N-WKWK	X001BAUX5F	B00HW0ZD12		アカラン エッセンシャルウォータージェル120g 化粧水 美容液 乳液 オールインワン オールインワンジェル クリーム スキンケア 無添加 乾燥肌 敏感肌 長時間保湿	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
IZ-ZO9F-ARKP	X001BLUUPH	B09F92NWCB		【2個セット】大香 moumou リードディフューザー リネン 100ml ルームフレグランス ルームディフューザー 芳香剤	TRUE	1	FALSE	FALSE	1.1		FALSE	FALSE	FALSE	FALSE
