日付	SKU	受領数量	出荷数量	廃棄数量	紛失数量	発見数量	返送数量	増加数量	減少数量	在庫数	仕入れ値（税抜）	在庫金額
2025/08/20	20250725-278-11	0	2	0	0	0	0	0	2	-2	300	-600
2025/08/21	CB-4NIF-VIBX	60	0	0	0	0	0	60	0	60	1264	75840
2025/08/21	VC-3S1J-M977	20	0	0	0	0	0	20	0	20	990	19800
2025/08/21	81-SXIF-2AHV	4	0	0	0	0	0	4	0	4	3626	14504
2025/08/21	IG-7R9N-WKWK	40	0	0	0	0	0	40	0	40	1932	77280
2025/08/21	LW-RM3U-ABJX	30	0	0	0	0	0	30	0	30	1941	58230
2025/08/21	14-7ZQP-D90K	12	0	0	0	0	0	12	0	12	2500	30000
2025/08/21	RQ-WM6W-R6I2	10	0	0	0	0	0	10	0	10	1149	11490
2025/08/21	20250725-278-11	2	0	0	0	0	0	2	0	0	300	0
2025/08/22	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/22	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/22	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/22	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/22	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/22	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/22	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/22	20250725-278-11	0	0	0	0	0	0	0	0	0	300	0
2025/08/23	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/23	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/23	VV-8L7B-H8M6	59	0	0	0	0	0	59	0	59	659	38881
2025/08/23	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/23	IG-7R9N-WKWK	1	1	0	0	0	0	1	1	40	1932	77280
2025/08/23	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/23	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/23	YY-TQ4X-IAPC	15	1	0	0	0	0	15	1	14	1129	15806
2025/08/23	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/23	20250725-278-11	0	0	0	0	0	0	0	0	0	300	0
2025/08/24	00-KOU9-B1OP	24	0	0	0	0	0	24	0	24	1063	25512
2025/08/24	UU-S0S2-9AE6	20	0	0	0	0	0	20	0	20	942	18840
2025/08/24	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/24	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/24	XV-8UT6-A1VR	24	0	0	0	0	0	24	0	24	2184	52416
2025/08/24	79-GUS1-75NV	24	0	0	0	0	0	24	0	24	2717	65208
2025/08/24	VV-8L7B-H8M6	4	14	0	0	0	0	4	14	49	659	32291
2025/08/24	3H-IPEG-E0IK	99	0	0	0	0	0	99	0	99	1329	131571
2025/08/24	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/24	JG-70WW-0ARP	10	0	0	0	0	0	10	0	10	1667	16670
2025/08/24	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/24	UZ-MIN7-6IVE	10	0	0	0	0	0	10	0	10	815	8150
2025/08/24	4N-TYYG-7MOA	100	0	0	0	0	0	100	0	100	741	74100
2025/08/24	QI-WCJM-NKIM	6	0	0	0	0	0	6	0	6	1481	8886
2025/08/24	XW-1ZXC-1DSC	168	0	0	0	0	0	168	0	168	1492	250656
2025/08/24	34-5DZX-V311	10	0	0	0	0	0	10	0	10	5000	50000
2025/08/24	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/24	YY-TQ4X-IAPC	1	2	0	0	0	0	1	2	13	1129	14677
2025/08/24	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/24	R8-BMH3-G9J4	12	0	0	0	0	0	12	0	12	1677	20124
2025/08/24	20250725-278-11	0	0	0	0	0	0	0	0	0	300	0
2025/08/24	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/25	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/25	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/25	XV-8UT6-A1VR	1	4	0	0	0	0	1	4	21	2184	45864
2025/08/25	VV-8L7B-H8M6	17	10	0	0	0	0	17	10	56	659	36904
2025/08/25	YY-TQ4X-IAPC	0	0	0	0	0	0	0	0	13	1129	14677
2025/08/25	3H-IPEG-E0IK	0	6	0	0	0	0	0	6	93	1329	123597
2025/08/25	20250725-278-11	0	0	0	0	0	0	0	0	0	300	0
2025/08/25	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/25	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/25	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/25	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/25	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/25	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/25	UU-S0S2-9AE6	0	0	0	0	0	0	0	0	20	942	18840
2025/08/25	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/25	JG-70WW-0ARP	0	0	0	0	0	0	0	0	10	1667	16670
2025/08/25	UZ-MIN7-6IVE	0	0	0	0	0	0	0	0	10	815	8150
2025/08/25	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/25	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/25	XW-1ZXC-1DSC	0	0	0	0	0	0	0	0	168	1492	250656
2025/08/25	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/25	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/08/26	XV-8UT6-A1VR	3	5	0	0	0	0	3	5	19	2184	41496
2025/08/26	VV-8L7B-H8M6	4	1	0	0	0	0	4	1	59	659	38881
2025/08/26	3H-IPEG-E0IK	7	9	0	0	0	0	7	9	91	1329	120939
2025/08/26	JG-70WW-0ARP	0	2	0	0	0	0	0	2	8	1667	13336
2025/08/26	81-SXIF-2AHV	0	1	0	0	0	0	0	1	3	3626	10878
2025/08/26	RQ-WM6W-R6I2	0	1	0	0	0	0	0	1	9	1149	10341
2025/08/26	20250725-278-11	0	0	0	0	0	0	0	0	0	300	0
2025/08/26	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/26	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/26	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/26	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/26	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/26	YY-TQ4X-IAPC	0	0	0	0	0	0	0	0	13	1129	14677
2025/08/26	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/26	UU-S0S2-9AE6	0	0	0	0	0	0	0	0	20	942	18840
2025/08/26	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/26	UZ-MIN7-6IVE	0	0	0	0	0	0	0	0	10	815	8150
2025/08/26	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/26	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/26	XW-1ZXC-1DSC	0	0	0	0	0	0	0	0	168	1492	250656
2025/08/26	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/26	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/08/27	XV-8UT6-A1VR	5	0	0	0	0	0	5	0	24	2184	52416
2025/08/27	VV-8L7B-H8M6	6	0	0	0	0	0	6	0	65	659	42835
2025/08/27	3H-IPEG-E0IK	8	0	0	0	0	0	8	0	99	1329	131571
2025/08/27	81-SXIF-2AHV	1	0	0	0	0	0	1	0	4	3626	14504
2025/08/27	JG-70WW-0ARP	1	3	0	0	0	0	1	3	6	1667	10002
2025/08/27	YY-TQ4X-IAPC	3	1	0	0	0	0	3	1	15	1129	16935
2025/08/27	20250725-278-11	1	1	0	0	0	0	1	1	0	300	0
2025/08/27	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/27	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/27	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/27	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/27	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/27	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	9	1149	10341
2025/08/27	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/27	UU-S0S2-9AE6	0	0	0	0	0	0	0	0	20	942	18840
2025/08/27	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/27	UZ-MIN7-6IVE	0	0	0	0	0	0	0	0	10	815	8150
2025/08/27	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/27	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/27	XW-1ZXC-1DSC	0	0	0	0	0	0	0	0	168	1492	250656
2025/08/27	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/27	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/08/28	3H-IPEG-E0IK	2	1	0	0	0	0	2	1	100	1329	132900
2025/08/28	JG-70WW-0ARP	2	5	0	0	0	0	2	5	3	1667	5001
2025/08/28	RQ-WM6W-R6I2	1	0	0	0	0	0	1	0	10	1149	11490
2025/08/28	XV-8UT6-A1VR	0	3	0	0	0	0	0	3	21	2184	45864
2025/08/28	20250725-278-11	0	0	0	0	0	0	0	0	0	300	0
2025/08/28	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/28	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/28	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/28	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/28	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/28	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/28	VV-8L7B-H8M6	0	0	0	0	0	0	0	0	65	659	42835
2025/08/28	YY-TQ4X-IAPC	0	0	0	0	0	0	0	0	15	1129	16935
2025/08/28	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/28	UU-S0S2-9AE6	0	0	0	0	0	0	0	0	20	942	18840
2025/08/28	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/28	UZ-MIN7-6IVE	0	0	0	0	0	0	0	0	10	815	8150
2025/08/28	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/28	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/28	XW-1ZXC-1DSC	0	0	0	0	0	0	0	0	168	1492	250656
2025/08/28	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/28	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/08/29	XV-8UT6-A1VR	2	0	0	0	0	0	2	0	23	2184	50232
2025/08/29	VV-8L7B-H8M6	5	0	0	0	0	0	5	0	70	659	46130
2025/08/29	3H-IPEG-E0IK	1	3	0	0	0	0	1	3	98	1329	130242
2025/08/29	JG-70WW-0ARP	5	0	0	0	0	0	5	0	8	1667	13336
2025/08/29	20250725-278-11	1	1	0	0	0	0	1	1	0	300	0
2025/08/29	YY-TQ4X-IAPC	0	2	0	0	0	0	0	2	13	1129	14677
2025/08/29	UZ-MIN7-6IVE	0	3	0	0	0	0	0	3	7	815	5705
2025/08/29	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/29	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/29	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/29	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/29	LW-RM3U-ABJX	0	0	0	0	0	0	0	0	30	1941	58230
2025/08/29	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/29	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/29	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/29	UU-S0S2-9AE6	0	0	0	0	0	0	0	0	20	942	18840
2025/08/29	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/29	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/29	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/29	XW-1ZXC-1DSC	0	0	0	0	0	0	0	0	168	1492	250656
2025/08/29	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/29	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/08/30	XV-8UT6-A1VR	1	0	0	0	0	0	1	0	24	2184	52416
2025/08/30	3H-IPEG-E0IK	3	1	0	0	0	0	3	1	100	1329	132900
2025/08/30	JG-70WW-0ARP	2	0	0	0	0	0	2	0	10	1667	16670
2025/08/30	UZ-MIN7-6IVE	1	0	0	0	0	0	1	0	8	815	6520
2025/08/30	YY-TQ4X-IAPC	2	0	0	0	0	0	2	0	15	1129	16935
2025/08/30	LW-RM3U-ABJX	0	2	0	0	0	0	0	2	28	1941	54348
2025/08/30	UU-S0S2-9AE6	0	2	0	0	0	0	0	2	18	942	16956
2025/08/30	20250725-278-11	0	1	0	0	0	0	0	1	-1	300	-300
2025/08/30	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/30	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/30	81-SXIF-2AHV	0	0	0	0	0	0	0	0	4	3626	14504
2025/08/30	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/30	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/30	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/30	VV-8L7B-H8M6	0	0	0	0	0	0	0	0	70	659	46130
2025/08/30	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/30	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/30	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/30	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/30	XW-1ZXC-1DSC	0	0	0	0	0	0	0	0	168	1492	250656
2025/08/30	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/30	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/08/31	C3-CM8M-V0G3	35	0	0	0	0	0	35	0	35	1304	45640
2025/08/31	UU-S0S2-9AE6	2	0	0	0	0	0	2	0	20	942	18840
2025/08/31	3H-IPEG-E0IK	1	2	0	0	0	0	1	2	99	1329	131571
2025/08/31	LW-RM3U-ABJX	2	0	0	0	0	0	2	0	30	1941	58230
2025/08/31	UZ-MIN7-6IVE	2	1	0	0	0	0	2	1	9	815	7335
2025/08/31	20250725-278-11	1	0	0	0	0	0	1	0	0	300	0
2025/08/31	81-SXIF-2AHV	0	1	0	0	0	0	0	1	3	3626	10878
2025/08/31	XW-1ZXC-1DSC	0	2	0	0	0	0	0	2	166	1492	247672
2025/08/31	VV-8L7B-H8M6	0	1	0	0	0	0	0	1	69	659	45471
2025/08/31	YY-TQ4X-IAPC	0	1	0	0	0	0	0	1	14	1129	15806
2025/08/31	CB-4NIF-VIBX	0	0	0	0	0	0	0	0	60	1264	75840
2025/08/31	VC-3S1J-M977	0	0	0	0	0	0	0	0	20	990	19800
2025/08/31	IG-7R9N-WKWK	0	0	0	0	0	0	0	0	40	1932	77280
2025/08/31	14-7ZQP-D90K	0	0	0	0	0	0	0	0	12	2500	30000
2025/08/31	RQ-WM6W-R6I2	0	0	0	0	0	0	0	0	10	1149	11490
2025/08/31	00-KOU9-B1OP	0	0	0	0	0	0	0	0	24	1063	25512
2025/08/31	XV-8UT6-A1VR	0	0	0	0	0	0	0	0	24	2184	52416
2025/08/31	79-GUS1-75NV	0	0	0	0	0	0	0	0	24	2717	65208
2025/08/31	JG-70WW-0ARP	0	0	0	0	0	0	0	0	10	1667	16670
2025/08/31	4N-TYYG-7MOA	0	0	0	0	0	0	0	0	100	741	74100
2025/08/31	QI-WCJM-NKIM	0	0	0	0	0	0	0	0	6	1481	8886
2025/08/31	34-5DZX-V311	0	0	0	0	0	0	0	0	10	5000	50000
2025/08/31	R8-BMH3-G9J4	0	0	0	0	0	0	0	0	12	1677	20124
2025/09/01	C3-CM8M-V0G3	25	0	0	0	0	0	25	0	60	1304	78240
2025/09/01	TF-CGF9-UE5Z	10	0	0	0	0	0	10	0	10	3131	31310
2025/09/01	7T-Y9PY-MRKA	20	0	0	0	0	0	20	0	20	538	10760
2025/09/01	UU-S0S2-9AE6	1	4	0	0	0	0	1	4	17	942	16014
2025/09/01	XV-8UT6-A1VR	1	1	0	0	0	0	1	1	24	2184	52416
2025/09/01	VV-8L7B-H8M6	1	0	0	0	0	0	1	0	70	659	46130
2025/09/01	3H-IPEG-E0IK	1	2	0	0	0	0	1	2	98	1329	130242
2025/09/01	81-SXIF-2AHV	1	0	0	0	0	0	1	0	4	3626	14504
2025/09/01	IG-7R9N-WKWK	4	5	0	0	0	0	4	5	39	1932	75348
2025/09/01	LW-RM3U-ABJX	1	2	0	0	0	0	1	2	29	1941	56289
2025/09/01	UZ-MIN7-6IVE	0	1	0	0	0	0	0	1	8	815	6520
