SKU	注文件数	販売数量	総売上（税抜）	総割引額	総付与ポイント数	実質売上	平均販売単価	総仕入れ原価（税抜）	総手数料（税込）	総手数料（税抜）	総税抜利益	1個あたり平均利益	利益率%	初回注文日	最終注文日	集計日時
20250725-278-11	5	6	2723	0	0	2723	453.8333333	1800	2574	2340	-1417	-236.1666667	-52.03819317	2025/08/20	2025/09/10	2025/10/20
IG-7R9N-WKWK	27	41	110590	0	0	110590	2697.317073	79212	29950	27227.27273	4150.727273	101.2372506	3.753257322	2025/08/23	2025/10/18	2025/10/20
YY-TQ4X-IAPC	9	15	26072	0	0	26072	1738.133333	16935	9382	8529.090909	607.9090909	40.52727273	2.331654997	2025/08/23	2025/09/17	2025/10/20
VV-8L7B-H8M6	25	27	30264	0	0	30264	1120.888889	17793	14955	13595.45455	-1124.454545	-41.64646465	-3.715485545	2025/08/24	2025/09/04	2025/10/20
XV-8UT6-A1VR	26	26	82677	0	0	82677	3179.884615	56784	20220	18381.81818	7511.181818	288.8916084	9.084971417	2025/08/25	2025/10/08	2025/10/20
3H-IPEG-E0IK	62	79	135135	0	0	135135	1710.56962	104991	39998	36361.81818	-6217.818182	-78.70655926	-4.601190056	2025/08/25	2025/10/13	2025/10/20
JG-70WW-0ARP	9	10	25089	0	0	25089	2508.9	16670	7310	6645.454545	1773.545455	177.3545455	7.069016121	2025/08/26	2025/08/28	2025/10/20
81-SXIF-2AHV	2	2	9098	0	0	9098	4549	7252	1868	1698.181818	147.8181818	73.90909091	1.624732708	2025/08/26	2025/08/31	2025/10/20
RQ-WM6W-R6I2	35	36	59458	0	0	59458	1651.611111	41364	20186	18350.90909	-256.9090909	-7.136363636	-0.4320849859	2025/08/26	2025/10/18	2025/10/20
UZ-MIN7-6IVE	11	15	21886	0	0	21886	1459.066667	12225	9240	8400	1261	84.06666667	5.76167413	2025/08/29	2025/09/18	2025/10/20
LW-RM3U-ABJX	18	32	86554	0	0	86554	2704.8125	62112	23252	21138.18182	3303.818182	103.2443182	3.81706008	2025/08/30	2025/10/09	2025/10/20
