SKU	販売表示価格	販売付与ポイント	販売実質価格	カート表示価格	カート付与ポイント	カート実質価格	仕入れ値（税抜）	損益分岐価格（税込）	現在在庫数	推奨発注数	推奨発注日	需要予測	推奨在庫量	理想在庫消化週数	在庫健全性	カテゴリ	最大カテゴリ内ランキング	FBA手数料（税込）	販売手数料%	更新日時
00-KOU9-B1OP	1560	0	1560	1251	25	1226			24	0		0				ビューティー	14378	288	10	2025/10/21
0R-X703-9392	1765	0	1765	1765	0	1765	968	¥1,537	74	0		14		22.85714286		ホーム＆キッチン	18796	318	10	2025/10/21
14-7ZQP-D90K	3704	0	3704	3780	76	3704	2500	¥3,514	3	12	2025/10/21	6		4.142857143		ビューティー	34151	413	10	2025/10/21
19-D8LT-42KS	3980	0	3980	3980	0	3980	2750	¥3,867	88	0		1				ビューティー	28021	455	10	2025/10/21
1R-BSH4-QSX6	2396	0	2396	2420	24	2396	1650	¥2,555	11	0		9		6.142857143		ドラッグストア	9511	485	10	2025/10/21
20250725-278-11	499	0	499	499	0	499	300	¥776	5	0		0				ペット用品	11396	399	6	2025/10/21
34-5DZX-V311	7460	0	7460	7460	0	7460	5000	¥6,570	10	0		0				ドラッグストア	58209	413	10	2025/10/21
3H-IPEG-E0IK	2486	646	1840	2486	646	1840	1329	¥1,978	21	100	2025/10/21	38		1.857142857		ビューティー	2694	318	10	2025/10/21
45-HBQI-E4DH	2350	0	2350	2374	24	2350	1650	¥2,556	19	0		1				ドラッグストア	11873	485	10	2025/10/21
4N-TYYG-7MOA	2100	210	1890	1485	0	1485	741	¥1,259	88	0		7				ビューティー	5544	318	10	2025/10/21
5X-IMQE-57IY	1555	0	1555	1555	0	1555	798	¥1,329	50	0		0		28.42857143		ビューティー	19390	318	10	2025/10/21
6N-FGDZ-1ZSS	2105	0	2105	2105	0	2105			21	48	2025/10/25	27		2.714285714		ビューティー	23998	318	10	2025/10/21
6Q-EQX4-HZ2P	2570	0	2570	2570	0	2570	1531	¥2,353	7	20	2025/10/30	13		2.428571429		ドラッグストア	24117	434	10	2025/10/21
79-GUS1-75NV	4045	0	4045	4045	0	4045	2717	¥3,838	58	0		1				ビューティー	29463	465	10	2025/10/21
7T-Y9PY-MRKA	1291	0	1291	1304	13	1291	538	¥1,092	18	0		0				ビューティー	28304	413	8	2025/10/21
