売上日	注文件数	出荷商品数	総売上（税抜）	総割引額	総付与ポイント数	実質売上	総消費税	実質売上（税込）	平均注文単価	総仕入れ原価（税抜）	総手数料（税込）	総手数料（税抜）	総税抜利益	1商品あたり平均利益	利益率%	集計日時
2025/08/20	1	2	907	0	0	907	91	998	907	600	858	780	-473	-236.5	-52.14994487	2025/10/20
2025/08/23	2	2	4841	0	0	4841	484	5325	2420.5	3061	1400	1272.727273	507.2727273	253.6363636	10.47867646	2025/10/20
2025/08/24	13	16	19029	0	0	19029	1901	20930	1463.769231	11484	8992	8174.545455	-629.5454545	-39.34659091	-3.308347546	2025/10/20
2025/08/25	17	20	33805	0	0	33805	3133	36938	1988.529412	23300	11649	10590	-85	-4.25	-0.2514420944	2025/10/20
2025/08/26	11	19	43131	0	0	43131	4004	47135	3921	31649	11901	10819.09091	662.9090909	34.88995215	1.536966662	2025/10/20
2025/08/27	5	5	9799	0	0	9799	981	10780	1959.8	6430	3256	2960	409	81.8	4.173895295	2025/10/20
2025/08/28	9	9	24040	0	0	24040	2212	26252	2671.111111	16216	6521	5928.181818	1895.818182	210.6464646	7.886098926	2025/10/20
2025/08/29	6	9	13433	0	0	13433	1343	14776	2238.833333	8990	5046	4587.272727	-144.2727273	-16.03030303	-1.074017176	2025/10/20
2025/08/30	5	6	10594	0	0	10594	949	11543	2118.8	7395	3296	2996.363636	202.6363636	33.77272727	1.912746495	2025/10/20
2025/08/31	7	8	18300	0	0	18300	1234	19534	2614.285714	11871	5210	4736.363636	1692.636364	211.5795455	9.249379036	2025/10/20
2025/09/01	13	16	34490	0	0	34490	3269	37759	2653.076923	23708	9810	8918.181818	1863.818182	116.4886364	5.4039379	2025/10/20
2025/09/02	13	16	34801	0	0	34801	3078	37879	2677	22059	10386	9441.818182	3300.181818	206.2613636	9.483008586	2025/10/20
2025/09/03	11	13	33175	0	0	33175	2843	36018	3015.909091	22810	8672	7883.636364	2481.363636	190.8741259	7.4796191	2025/10/20
2025/09/04	4	4	7311	0	0	7311	731	8042	1827.75	5249	2303	2093.636364	-31.63636364	-7.909090909	-0.4327227963	2025/10/20
2025/09/05	10	12	23266	0	0	23266	2218	25484	2326.6	15183	7358	6689.090909	1393.909091	116.1590909	5.991184952	2025/10/20
2025/09/06	20	23	49164	0	0	49164	4808	53972	2458.2	32798	14154	12867.27273	3498.727273	152.1185771	7.116441446	2025/10/20
2025/09/07	13	15	27892	0	0	27892	2791	30683	2145.538462	17081	8813	8011.818182	2799.181818	186.6121212	10.03578739	2025/10/20
2025/09/08	13	16	33871	0	0	33871	3039	36910	2605.461538	22295	9795	8904.545455	2671.454545	166.9659091	7.887144004	2025/10/20
2025/09/09	7	7	12634	0	0	12634	1263	13897	1804.857143	8591	4020	3654.545455	388.4545455	55.49350649	3.074675839	2025/10/20
2025/09/10	10	14	31908	0	0	31908	3192	35100	3190.8	22221	9183	8348.181818	1338.818182	95.62987013	4.195869944	2025/10/20
2025/09/11	8	9	14148	0	0	14148	1416	15564	1768.5	9256	4589	4171.818182	720.1818182	80.02020202	5.09034364	2025/10/20
2025/09/12	6	6	10640	0	0	10640	1064	11704	1773.333333	6237	3440	3127.272727	1275.727273	212.6212121	11.98991798	2025/10/20
2025/09/13	10	10	19132	0	0	19132	1912	21044	1913.2	11716	5715	5195.454545	2220.545455	222.0545455	11.60644708	2025/10/20
2025/09/14	12	13	24683	0	0	24683	2467	27150	2056.916667	14579	7785	7077.272727	3026.727273	232.8251748	12.26239628	2025/10/20
2025/09/15	16	17	36462	0	0	36462	3452	39914	2278.875	23997	10234	9303.636364	3161.363636	185.9625668	8.670296847	2025/10/20
2025/09/16	6	6	14028	0	0	14028	1211	15239	2338	9056	3807	3460.909091	1511.090909	251.8484848	10.77196257	2025/10/20
2025/09/17	8	10	15965	0	0	15965	1596	17561	1995.625	10351	5445	4950	664	66.4	4.159098027	2025/10/20
2025/09/18	9	9	15056	0	0	15056	1451	16507	1672.888889	9800	4770	4336.363636	919.6363636	102.1818182	6.108105497	2025/10/20
2025/09/19	5	5	8465	0	0	8465	847	9312	1693	6011	2764	2512.727273	-58.72727273	-11.74545455	-0.6937657735	2025/10/20
2025/09/20	10	11	16382	0	0	16382	1640	18022	1638.2	10570	5512	5010.909091	801.0909091	72.82644628	4.890067813	2025/10/20
2025/09/21	8	8	18068	0	0	18068	1752	19820	2258.5	11895	5192	4720	1453	181.625	8.04184193	2025/10/20
2025/09/22	13	14	24001	0	0	24001	2400	26401	1846.230769	14736	7522	6838.181818	2426.818182	173.3441558	10.11132112	2025/10/20
2025/09/23	16	19	35835	0	0	35835	3584	39419	2239.6875	24155	11029	10026.36364	1653.636364	87.03349282	4.614584522	2025/10/20
2025/09/24	22	27	63202	0	0	63202	6261	69463	2872.818182	42824	18339	16671.81818	3706.181818	137.2659933	5.864026167	2025/10/20
2025/09/25	15	17	29464	0	0	29464	2949	32413	1964.266667	20295	9751	8864.545455	304.4545455	17.90909091	1.033310295	2025/10/20
2025/09/26	10	10	16305	0	0	16305	1503	17808	1630.5	10942	5224	4749.090909	613.9090909	61.39090909	3.765158485	2025/10/20
2025/09/27	10	12	24563	142	0	24421	2456	26877	2442.1	16131	7227	6570	1720	143.3333333	7.043118627	2025/10/20
2025/09/28	10	12	30636	0	0	30636	2750	33386	3063.6	19955	8260	7509.090909	3171.909091	264.3257576	10.35353535	2025/10/20
2025/09/29	10	13	31959	0	0	31959	3196	35155	3195.9	19334	9200	8363.636364	4261.363636	327.7972028	13.33384535	2025/10/20
2025/09/30	14	14	35459	0	0	35459	3496	38955	2532.785714	23675	11027	10024.54545	1759.454545	125.6753247	4.961940679	2025/10/20
2025/10/01	21	23	65306	0	0	65306	5289	70595	3109.809524	42304	18665	16968.18182	6033.818182	262.3399209	9.239301415	2025/10/20
2025/10/02	9	11	25452	0	0	25452	2496	27948	2828	16607	7441	6764.545455	2080.454545	189.1322314	8.174031689	2025/10/20
2025/10/03	12	14	22818	0	0	22818	2282	25100	1901.5	14051	7123	6475.454545	2291.545455	163.6818182	10.0427095	2025/10/20
2025/10/04	33	47	100974	0	0	100974	8893	109867	3059.818182	66464	28262	25692.72727	8817.272727	187.6015474	8.732220896	2025/10/20
2025/10/05	25	29	54990	0	0	54990	5157	60147	2199.6	37765	16200	14727.27273	2497.727273	86.12852665	4.542148159	2025/10/20
2025/10/06	16	16	39773	0	0	39773	3917	43690	2485.8125	27605	11273	10248.18182	1919.818182	119.9886364	4.82693833	2025/10/20
2025/10/07	32	35	80541	0	0	80541	7892	88433	2516.90625	55461	23228	21116.36364	3963.636364	113.2467532	4.921265397	2025/10/20
2025/10/08	23	28	63720	0	0	63720	6106	69826	2770.434783	43613	18811	17100.90909	3006.090909	107.3603896	4.717656794	2025/10/20
2025/10/09	10	14	29617	0	0	29617	2863	32480	2961.7	18525	8579	7799.090909	3292.909091	235.2077922	11.11830736	2025/10/20
2025/10/10	28	34	62943	0	0	62943	6243	69186	2247.964286	38573	19961	18146.36364	6223.636364	183.0481283	9.887733924	2025/10/20
2025/10/11	21	23	47643	0	0	47643	4762	52405	2268.714286	29303	14456	13141.81818	5198.181818	226.0079051	10.91069374	2025/10/20
2025/10/12	12	12	24083	0	0	24083	2360	26443	2006.916667	12353	7580	6890.909091	4839.090909	403.2575758	20.09338915	2025/10/20
2025/10/13	11	11	19423	0	0	19423	1892	21315	1765.727273	11284	6313	5739.090909	2399.909091	218.1735537	12.35601653	2025/10/20
2025/10/14	6	7	14871	0	0	14871	1485	16356	2478.5	7157	4152	3774.545455	3939.454545	562.7792208	26.49085163	2025/10/20
2025/10/15	19	26	59453	0	0	59453	5909	65362	3129.105263	37826	18062	16420	5207	200.2692308	8.758178729	2025/10/20
